Event,Timestamp,Reaction Time,Word
New word shown,1690857441.2639892,,"debugging ""123123  """""
New word shown,1690857442.9075015,,data structure
Button shown,1690857446.2090049,,
Button clicked,1690857446.6524675,0.443462610244751,
New word shown,1690857448.2181082,,cache
Button shown,1690857449.5573766,,
Button clicked,1690857453.4403534,3.882976770401001,
New word shown,1690857455.8148737,,algorithm
Button shown,1690857456.232714,,
Button clicked,1690857458.4342554,2.2015414237976074,
New word shown,1690857458.9910085,,CPU
Button shown,1690857463.0959604,,
Button clicked,1690857463.5677292,0.471768856048584,
New word shown,1690857463.9553611,,public encryption ways to build a future
Button shown,1690857465.1233003,,
Button clicked,1690857465.5491574,0.4258570671081543,
New word shown,1690857466.7170975,,memory
Button shown,1690857467.3566098,,
New word shown,1690857470.9198494,,object-oriented programming
New word shown,1690857471.161491,,networking
New word shown,1690857471.3683922,,compiler
